student_id,class
12111954,3rd year
12111970,3rd year
12111993,3rd year
12111997,3rd year
12111999,3rd year
12112053,3rd year
12112083,3rd year
12112100,3rd year
12112134,3rd year
12112137,3rd year
12112226,3rd year
12112227,3rd year
12112281,3rd year
12112282,3rd year
12112298,3rd year
12112302,3rd year
12112306,3rd year
12112328,3rd year
12112381,3rd year
12112417,3rd year
12112421,3rd year
12112447,3rd year
12112452,3rd year
12112454,3rd year
12112481,3rd year
12112619,3rd year
12112683,3rd year
12112699,3rd year
12112724,3rd year
12112742,3rd year
12112760,3rd year
12112775,3rd year
12112776,3rd year
12112798,3rd year
12112859,3rd year
12112884,3rd year
12112902,3rd year
12113062,3rd year
12113097,3rd year
12113129,3rd year
12113158,3rd year
12113179,3rd year
12113313,3rd year
12113411,3rd year
12113423,3rd year
12113723,3rd year
12113792,3rd year
12114938,3rd year
12115105,3rd year
12115235,3rd year
12115308,3rd year
12115366,3rd year
12115875,3rd year
12115896,3rd year
12116521,3rd year
12143442,3rd year
12143443,3rd year
12143444,3rd year
12143445,3rd year
12143451,3rd year
12143455,3rd year
12143459,3rd year
12143461,3rd year
12143465,3rd year
12143470,3rd year
12143471,3rd year
12143472,3rd year
12143478,3rd year
12143479,3rd year
12143481,3rd year
12143491,3rd year
12143492,3rd year
12143496,3rd year
12143500,3rd year
12143501,3rd year
12143503,3rd year
12143506,3rd year
12143511,3rd year
12143521,3rd year
12143522,3rd year
12143523,3rd year
12143524,3rd year
12143526,3rd year
12143532,3rd year
12143534,3rd year
12143538,3rd year
12143539,3rd year
12143540,3rd year
12143545,3rd year
12143547,3rd year
12143557,3rd year
12143562,3rd year
12143565,3rd year
12143567,3rd year
12143570,3rd year
12143571,3rd year
12143572,3rd year
12143574,3rd year
12143575,3rd year
12143582,3rd year
12143585,3rd year
12143587,3rd year
12143596,3rd year
12143597,3rd year
12143601,3rd year
12143608,3rd year
12143614,3rd year
12143626,3rd year
12143628,3rd year
12143629,3rd year
12143630,3rd year
12143632,3rd year
12143634,3rd year
12143644,3rd year
12143647,3rd year
12143648,3rd year
12143653,3rd year
12143657,3rd year
12143658,3rd year
12143659,3rd year
12143668,3rd year
12143670,3rd year
12143674,3rd year
12143676,3rd year
12143678,3rd year
12143679,3rd year
12143685,3rd year
12143687,3rd year
12143690,3rd year
12143693,3rd year
12143696,3rd year
12143704,3rd year
12143706,3rd year
12143709,3rd year
12143711,3rd year
12143712,3rd year
12143715,3rd year
12143716,3rd year
12143717,3rd year
12143719,3rd year
12143720,3rd year
12143722,3rd year
12143724,3rd year
12143726,3rd year
12143730,3rd year
12143731,3rd year
12143742,3rd year
12143747,3rd year
12143749,3rd year
12143752,3rd year
12143757,3rd year
12143761,3rd year
12143764,3rd year
12143765,3rd year
12143783,3rd year
12143789,3rd year
12143790,3rd year
12143792,3rd year
12143800,3rd year
12143802,3rd year
12143803,3rd year
12143804,3rd year
12143810,3rd year
12143815,3rd year
12143816,3rd year
12143820,3rd year
12143823,3rd year
12143825,3rd year
12143826,3rd year
12143827,3rd year
12143828,3rd year
12143830,3rd year
12143833,3rd year
12143835,3rd year
12143836,3rd year
12143837,3rd year
12143842,3rd year
12143845,3rd year
12143846,3rd year
12143848,3rd year
12143853,3rd year
12143857,3rd year
12143864,3rd year
12143866,3rd year
12143877,3rd year
12143879,3rd year
12143881,3rd year
12143885,3rd year
12143886,3rd year
12143887,3rd year
12143888,3rd year
12143908,3rd year
12143909,3rd year
12143914,3rd year
12143931,3rd year
12143932,3rd year
12143934,3rd year
12143938,3rd year
12143945,3rd year
12143947,3rd year
12143948,3rd year
12143955,3rd year
12143956,3rd year
12143966,3rd year
12143991,3rd year
12143994,3rd year
12144003,3rd year
12144004,3rd year
12144006,3rd year
12144014,3rd year
12144024,3rd year
12144055,3rd year
12144069,3rd year
12144073,3rd year
12144082,3rd year
12144092,3rd year
12144102,3rd year
12144103,3rd year
12144112,3rd year
12144116,3rd year
12144128,3rd year
12144131,3rd year
12144136,3rd year
12144143,3rd year
12144151,3rd year
12144166,3rd year
12144186,3rd year
12144190,3rd year
12144192,3rd year
12144208,3rd year
12144230,3rd year
12144232,3rd year
12144237,3rd year
12144253,3rd year
12144267,3rd year
12144277,3rd year
12144295,3rd year
12144300,3rd year
12144301,3rd year
12144316,3rd year
12144331,3rd year
12144333,3rd year
12144344,3rd year
12144349,3rd year
12144361,3rd year
12144381,3rd year
12144387,3rd year
12144389,3rd year
12144395,3rd year
12144411,3rd year
12144415,3rd year
12144453,3rd year
12144461,3rd year
12144470,3rd year
12144479,3rd year
12144487,3rd year
12144534,3rd year
12144613,3rd year
12144630,3rd year
12144640,3rd year
12144696,3rd year
12144729,3rd year
